FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.11%       2.356ms         0.11%       2.356ms       5.773us       0.000us         0.00%       0.000us       0.000us       3.11 Kb       3.11 Kb      62.70 Gb      62.70 Gb           408  
                                aten::cudnn_convolution         0.07%       1.617ms         0.20%       4.415ms     147.180us     123.183ms         2.73%     123.183ms       4.106ms           0 b           0 b      25.61 Gb      25.61 Gb            30  
                                          aten::resize_         0.02%     393.664us         0.02%     393.664us       3.547us       0.000us         0.00%       0.000us       0.000us       8.09 Kb       8.09 Kb      16.23 Gb      16.23 Gb           111  
                                    aten::empty_strided         0.09%       1.935ms         0.09%       1.935ms       4.886us       0.000us         0.00%       0.000us       0.000us         216 b         216 b      15.84 Gb      15.84 Gb           396  
                                          ProfilerStep*        13.02%     284.243ms        86.43%        1.887s     314.491ms       0.000us         0.00%     440.580ms      73.430ms           0 b          12 b           0 b      12.40 Gb             6  
                             aten::convolution_backward         0.17%       3.714ms         0.73%      16.030ms     763.317us        1.035s        22.97%        1.070s      50.976ms           0 b           0 b      17.91 Gb      11.94 Gb            21  
                                              aten::add         0.39%       8.617ms         0.42%       9.139ms     121.850us      51.229ms         1.14%      51.229ms     683.058us       3.71 Mb       3.71 Mb      10.25 Gb      10.25 Gb            75  
                                              aten::div         0.34%       7.462ms         0.36%       7.937ms     264.564us       4.975ms         0.11%       4.975ms     165.835us       3.64 Mb       3.64 Mb       2.67 Gb       2.67 Gb            30  
                                              aten::mul         0.03%     658.701us         0.05%       1.058ms      23.513us       2.435ms         0.05%       2.435ms      54.103us           0 b           0 b       1.50 Gb       1.50 Gb            45  
                                             aten::mean         0.01%     146.131us         0.01%     216.568us      36.095us      10.392ms         0.23%      10.392ms       1.732ms           0 b           0 b       1.02 Gb       1.02 Gb             6  
                                              aten::cat         0.03%     601.047us         0.05%       1.016ms      48.371us       2.686ms         0.06%       2.686ms     127.881us           0 b           0 b     573.24 Mb     573.24 Mb            21  
                                               aten::mm         0.02%     453.571us         0.03%     578.738us      96.456us       1.778ms         0.04%       1.778ms     296.340us           0 b           0 b     524.13 Mb     524.13 Mb             6  
                                aten::replication_pad2d         0.01%     115.926us         0.01%     287.420us      47.903us       1.013ms         0.02%       1.013ms     168.794us           0 b           0 b     382.06 Mb     382.06 Mb             6  
                                           aten::argmax         0.01%     138.296us         0.01%     190.408us      31.735us       2.644ms         0.06%       2.644ms     440.618us           0 b           0 b     218.32 Mb     218.32 Mb             6  
                                               aten::eq         0.01%     123.563us         0.01%     179.771us      29.962us     389.055us         0.01%     389.055us      64.842us           0 b           0 b     163.74 Mb     163.74 Mb             6  
                                              aten::sin         0.00%      79.070us         0.01%     126.072us      21.012us     164.320us         0.00%     164.320us      27.387us           0 b           0 b     109.16 Mb     109.16 Mb             6  
                                              aten::cos         0.00%      78.930us         0.01%     122.269us      20.378us     129.568us         0.00%     129.568us      21.595us           0 b           0 b     109.16 Mb     109.16 Mb             6  
                                           aten::gather         0.01%     126.527us         0.01%     196.048us      32.675us     499.487us         0.01%     499.487us      83.248us           0 b           0 b     109.16 Mb     109.16 Mb             6  
                                            aten::addmm         0.02%     465.165us         0.03%     592.020us      98.670us       1.903ms         0.04%       1.903ms     317.141us           0 b           0 b      10.92 Mb      10.92 Mb             6  
                                              aten::sub         0.65%      14.155ms         0.66%      14.405ms     342.965us      68.640us         0.00%      68.640us       1.634us       3.64 Mb       3.64 Mb       8.50 Mb       8.50 Mb            42  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.183s
Self CUDA time total: 4.506s
